nama,kelas,nilai,kelengkapan,kesesuaian,target
"Ahmad Fauzi","10A",52,1,0,revisi
"Siti Rahma","10B",68,0,0,revisi
"Budi Santoso","10A",55,1,1,revisi
"Dewi Lestari","11A",63,0,0,revisi
"Eko Prasetyo","11B",70,1,0,revisi
"Fitri Handayani","10A",60,0,0,revisi
"Gunawan Wibowo","10B",65,0,0,revisi
"Hani Susanti","11A",50,1,0,revisi
"Indra Gunawan","11B",42,0,1,revisi
"Joko Widodo","10A",67,0,0,revisi
"Kartika Sari","10B",58,0,1,revisi
"Lukman Hakim","11A",62,1,0,revisi
"Maya Indah","11B",85,1,1,selesai
"Nanda Putra","10A",88,1,1,selesai
"Olivia Hernawan","10B",95,1,1,selesai
"Putra Mahardika","11A",81,1,1,selesai
"Qori Amalia","11B",90,0,1,selesai
"Rina Marlina","10A",82,1,1,selesai
"Surya Aditya","10B",96,1,1,selesai
"Tari Kasih","11A",87,0,1,selesai
"Umar Faruq","11B",91,1,1,selesai
"Vina Agustina","10A",84,1,0,selesai
"Wahyu Setiawan","10B",93,1,1,selesai
"Xaverius Dwi","11A",80,1,1,selesai
"Yuni Shinta","11B",83,1,1,selesai
"Zaki Barokah","10A",94,1,1,selesai
"Adi Nugroho","10B",97,1,1,selesai
"Bella Cantika","11A",98,1,1,selesai
"Candra Wijaya","11B",99,1,1,selesai
"Dian Permata","10A",100,1,0,selesai
"Eka Jaya","10B",50,0,1,revisi
"Fajar Sidik","11A",71,0,0,revisi
"Gina Oktaviani","11B",75,1,1,revisi
"Hendra Kusuma","10A",78,1,1,revisi
"Intan Permadi","10B",72,0,1,revisi
"Jihan Fadillah","11A",80,0,0,revisi
"Kiki Amalia","11B",74,0,1,revisi
"Lutfi Hakim","10A",62,0,1,selesai
"Mita Sari","10B",67,1,1,selesai
"Novi Andriani","11A",63,0,1,selesai
"Oki Pratama","11B",60,1,0,selesai
"Putri Ayu","10A",69,1,1,selesai
"Rizky Maulana","10B",65,1,1,selesai
"Salsa Bella","11A",70,1,0,selesai
"Taufik Hidayat","11B",68,1,1,selesai
